[I 2025-10-15 16:52:30,426] Trial 33 finished with value: 0.8041130798553745 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.3, 'win_size': 6, 'lr': 0.0001, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 18:08:20,267] Trial 34 finished with value: 0.8025294256464061 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.2, 'win_size': 8, 'lr': 0.0001, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 19:10:58,443] Trial 35 finished with value: 0.8029495208528271 and parameters: {'hid_dim': 2048, 'beta': 0.4, 'dropout_rate': 0.3, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 20:24:00,120] Trial 36 finished with value: 0.7999297105197877 and parameters: {'hid_dim': 2048, 'beta': 0.1, 'dropout_rate': 0.4, 'win_size': 8, 'lr': 5e-05, 'weight_decay': 0.005}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 21:15:59,294] Trial 37 finished with value: 0.7672693936701638 and parameters: {'hid_dim': 512, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0001, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 22:23:45,276] Trial 38 finished with value: 0.7979177987038492 and parameters: {'hid_dim': 1024, 'beta': 0.4, 'dropout_rate': 0.1, 'win_size': 8, 'lr': 0.0005, 'weight_decay': 0.0001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 23:16:43,012] Trial 39 finished with value: 0.7554446076933464 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.5, 'win_size': 6, 'lr': 0.005, 'weight_decay': 0.005}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-15 23:39:36,497] Trial 40 finished with value: 0.8016577244320038 and parameters: {'hid_dim': 1024, 'beta': 0.2, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.001, 'weight_decay': 0.0005}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-16 00:32:40,568] Trial 41 finished with value: 0.809972175568113 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-16 01:25:34,963] Trial 42 finished with value: 0.8089395413463119 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-16 02:18:29,926] Trial 43 finished with value: 0.8107124570988814 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-16 03:11:23,887] Trial 44 finished with value: 0.8079688416647938 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.1, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-16 03:49:27,786] Trial 45 finished with value: 0.8057679991381016 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.3, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-16 04:42:31,485] Trial 46 finished with value: 0.8042023037879541 and parameters: {'hid_dim': 2048, 'beta': 0.1, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.005}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-16 05:34:49,238] Trial 47 finished with value: 0.7565447418186527 and parameters: {'hid_dim': 1024, 'beta': 0.4, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
