[I 2025-09-26 21:42:04,500] Trial 42 finished with value: 0.8513958266976503 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:43:07,545] Trial 43 finished with value: 0.8498482296617054 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:44:44,295] Trial 44 finished with value: 0.8330600723314069 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.05, 'win_size': 8}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:45:47,304] Trial 45 finished with value: 0.8513261225007542 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:46:26,996] Trial 46 finished with value: 0.8489176737586882 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.1, 'lr': 0.1, 'win_size': 2}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:46:58,076] Trial 47 finished with value: 0.7930721614783742 and parameters: {'hid_dim': 256, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:48:01,225] Trial 48 finished with value: 0.5366864692358672 and parameters: {'hid_dim': 1024, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.001, 'lr': 0.3, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:49:04,398] Trial 49 finished with value: 0.619501098299856 and parameters: {'hid_dim': 1024, 'theta': 0.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.2, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:49:35,148] Trial 50 finished with value: 0.5606912882644149 and parameters: {'hid_dim': 128, 'theta': 1.4, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:50:38,147] Trial 51 finished with value: 0.8513801357055314 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:51:41,236] Trial 52 finished with value: 0.848115761535024 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:52:44,352] Trial 53 finished with value: 0.8512883815513937 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:53:47,426] Trial 54 finished with value: 0.8513916304978154 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:54:50,497] Trial 55 finished with value: 0.850164366693882 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:55:53,604] Trial 56 finished with value: 0.4242770006908012 and parameters: {'hid_dim': 1024, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.05, 'lr': 0.01, 'win_size': 4}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:56:18,225] Trial 57 finished with value: 0.44440798277213084 and parameters: {'hid_dim': 512, 'theta': 1.4, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 2}. Best is trial 23 with value: 0.8513978798097529.
[I 2025-09-26 21:57:40,355] Trial 58 finished with value: 0.8525859794914274 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 58 with value: 0.8525859794914274.
[I 2025-09-26 21:59:02,448] Trial 59 finished with value: 0.8527578719348162 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 59 with value: 0.8527578719348162.
[I 2025-09-26 21:59:39,188] Trial 60 finished with value: 0.8324200135052677 and parameters: {'hid_dim': 256, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.001, 'lr': 0.05, 'win_size': 6}. Best is trial 59 with value: 0.8527578719348162.
[I 2025-09-26 22:01:01,249] Trial 61 finished with value: 0.8401801864961363 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 59 with value: 0.8527578719348162.
[I 2025-09-26 22:02:23,305] Trial 62 finished with value: 0.8539635411319306 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:03:45,359] Trial 63 finished with value: 0.8502533401161173 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:05:07,413] Trial 64 finished with value: 0.8527797455757633 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:06:29,567] Trial 65 finished with value: 0.6969749621056484 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.2, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:07:51,608] Trial 66 finished with value: 0.8481221351754505 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:09:13,725] Trial 67 finished with value: 0.6779773508783564 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.1, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:10:35,882] Trial 68 finished with value: 0.7488713557795991 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.05, 'beta': 0.05, 'lr': 0.3, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:11:22,682] Trial 69 finished with value: 0.8480914586695287 and parameters: {'hid_dim': 512, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.05, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:12:44,789] Trial 70 finished with value: 0.8534150210537944 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:14:06,855] Trial 71 finished with value: 0.8400884516083923 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:15:28,918] Trial 72 finished with value: 0.845253019289726 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:16:50,958] Trial 73 finished with value: 0.8525465926996401 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:18:13,020] Trial 74 finished with value: 0.8524205260698605 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.05, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:19:34,999] Trial 75 finished with value: 0.8531018360699222 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:20:12,025] Trial 76 finished with value: 0.4914960768387979 and parameters: {'hid_dim': 128, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:21:34,074] Trial 77 finished with value: 0.8528499500147856 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:22:56,221] Trial 78 finished with value: 0.8535980308547845 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:24:18,285] Trial 79 finished with value: 0.8526856262173723 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:25:40,290] Trial 80 finished with value: 0.8469634393744773 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:27:02,253] Trial 81 finished with value: 0.8507058416518714 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:28:24,270] Trial 82 finished with value: 0.8538665758485628 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:29:46,296] Trial 83 finished with value: 0.8528270807107637 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:31:08,294] Trial 84 finished with value: 0.8538371015900915 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:32:30,321] Trial 85 finished with value: 0.8531096260243128 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.01, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:33:07,108] Trial 86 finished with value: 0.5018654806919619 and parameters: {'hid_dim': 256, 'theta': 1.6, 'alpha': 0.05, 'beta': 0.001, 'lr': 0.01, 'win_size': 6}. Best is trial 62 with value: 0.8539635411319306.
[I 2025-09-26 22:34:29,200] Trial 87 finished with value: 0.8540421552968528 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 87 with value: 0.8540421552968528.
[I 2025-09-26 22:35:16,058] Trial 88 finished with value: 0.8540118385242349 and parameters: {'hid_dim': 512, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 87 with value: 0.8540421552968528.
[I 2025-09-26 22:36:02,939] Trial 89 finished with value: 0.7970186976801679 and parameters: {'hid_dim': 512, 'theta': 1.2, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 87 with value: 0.8540421552968528.
[I 2025-09-26 22:37:04,282] Trial 90 finished with value: 0.6475107170575326 and parameters: {'hid_dim': 512, 'theta': 0.6, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.01, 'win_size': 10}. Best is trial 87 with value: 0.8540421552968528.
[I 2025-09-26 22:37:51,196] Trial 91 finished with value: 0.852845392737489 and parameters: {'hid_dim': 512, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 87 with value: 0.8540421552968528.
[I 2025-09-26 22:38:38,062] Trial 92 finished with value: 0.8359125913222432 and parameters: {'hid_dim': 512, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 87 with value: 0.8540421552968528.
[I 2025-09-26 22:40:00,110] Trial 93 finished with value: 0.8467540732432888 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 87 with value: 0.8540421552968528.
