[I 2025-09-26 15:51:32,019] A new study created in memory with name: no-name-b4ab6bfd-ac59-4416-b9d4-afa24f20af93
[I 2025-09-26 16:29:21,101] Trial 32 finished with value: 0.7745106689154658 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 500}. Best is trial 26 with value: 0.7751392244476889.
[I 2025-09-26 16:30:21,162] Trial 33 finished with value: 0.7739997448078944 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 500}. Best is trial 26 with value: 0.7751392244476889.
[I 2025-09-26 16:32:26,898] Trial 34 finished with value: 0.26709587137397406 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.005, 'win_size': 9, 'epochs': 750}. Best is trial 26 with value: 0.7751392244476889.
[I 2025-09-26 16:33:05,915] Trial 35 finished with value: 0.26785068755996183 and parameters: {'hid_dim': 32, 'theta': 2.0, 'beta': 0.001, 'lambd': 0.2, 'lr': 0.05, 'win_size': 5, 'epochs': 500}. Best is trial 26 with value: 0.7751392244476889.
[I 2025-09-26 16:33:36,344] Trial 36 finished with value: 0.7046952178372825 and parameters: {'hid_dim': 64, 'theta': 5.0, 'beta': 0.001, 'lambd': 0.001, 'lr': 0.001, 'win_size': 3, 'epochs': 500}. Best is trial 26 with value: 0.7751392244476889.
[I 2025-09-26 16:35:03,439] Trial 37 finished with value: 0.8162570182593033 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 750}. Best is trial 37 with value: 0.8162570182593033.
[I 2025-09-26 16:36:15,286] Trial 38 finished with value: 0.26170325186349946 and parameters: {'hid_dim': 32, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.01, 'win_size': 9, 'epochs': 750}. Best is trial 37 with value: 0.8162570182593033.
[I 2025-09-26 16:38:04,264] Trial 39 finished with value: 0.2956258796276268 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.001, 'lr': 0.05, 'win_size': 7, 'epochs': 750}. Best is trial 37 with value: 0.8162570182593033.
[I 2025-09-26 16:38:47,539] Trial 40 finished with value: 0.6342982684204186 and parameters: {'hid_dim': 64, 'theta': 2.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 3, 'epochs': 750}. Best is trial 37 with value: 0.8162570182593033.
[I 2025-09-26 16:40:14,420] Trial 41 finished with value: 0.81628130595985 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 750}. Best is trial 41 with value: 0.81628130595985.
[I 2025-09-26 16:41:41,535] Trial 42 finished with value: 0.8163340900029108 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 750}. Best is trial 42 with value: 0.8163340900029108.
[I 2025-09-26 16:43:08,790] Trial 43 finished with value: 0.8162086286147539 and parameters: {'hid_dim': 512, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 750}. Best is trial 42 with value: 0.8163340900029108.
[I 2025-09-26 16:44:04,205] Trial 44 finished with value: 0.7674749003181177 and parameters: {'hid_dim': 128, 'theta': 5.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.01, 'win_size': 5, 'epochs': 750}. Best is trial 42 with value: 0.8163340900029108.
[I 2025-09-26 16:45:31,503] Trial 45 finished with value: 0.8263231368518383 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 750}. Best is trial 45 with value: 0.8263231368518383.
[I 2025-09-26 16:47:20,826] Trial 46 finished with value: 0.5956643553213246 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.005, 'win_size': 7, 'epochs': 750}. Best is trial 45 with value: 0.8263231368518383.
[I 2025-09-26 16:48:16,054] Trial 47 finished with value: 0.4112802429614973 and parameters: {'hid_dim': 32, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.05, 'win_size': 5, 'epochs': 750}. Best is trial 45 with value: 0.8263231368518383.
[I 2025-09-26 16:49:43,159] Trial 48 finished with value: 0.8260371047774564 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 750}. Best is trial 45 with value: 0.8263231368518383.
[I 2025-09-26 16:50:54,440] Trial 49 finished with value: 0.14526333368011785 and parameters: {'hid_dim': 64, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 9, 'epochs': 750}. Best is trial 45 with value: 0.8263231368518383.
[I 2025-09-26 16:52:21,483] Trial 50 finished with value: 0.7954890971900845 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.001, 'lr': 0.01, 'win_size': 5, 'epochs': 750}. Best is trial 45 with value: 0.8263231368518383.
[I 2025-09-26 16:53:48,708] Trial 51 finished with value: 0.8258762561272001 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 750}. Best is trial 45 with value: 0.8263231368518383.
[I 2025-09-26 16:55:15,981] Trial 52 finished with value: 0.8261516285364319 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 750}. Best is trial 45 with value: 0.8263231368518383.
[I 2025-09-26 16:56:43,279] Trial 53 finished with value: 0.8259908851234835 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 750}. Best is trial 45 with value: 0.8263231368518383.
[I 2025-09-26 16:58:10,537] Trial 54 finished with value: 0.8263401174037391 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 750}. Best is trial 54 with value: 0.8263401174037391.
[I 2025-09-26 16:59:05,936] Trial 55 finished with value: 0.7197145286270142 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.2, 'lr': 0.001, 'win_size': 5, 'epochs': 750}. Best is trial 54 with value: 0.8263401174037391.
[I 2025-09-26 17:00:05,433] Trial 56 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.001, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:00:48,526] Trial 57 finished with value: 0.8503656097813546 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.001, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:01:31,715] Trial 58 finished with value: 0.8503613094270246 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.001, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:02:14,866] Trial 59 finished with value: 0.8503789815665823 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:02:57,869] Trial 60 finished with value: 0.8503789815665823 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:03:40,973] Trial 61 finished with value: 0.8503789815665823 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:04:24,326] Trial 62 finished with value: 0.8503789815665823 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:05:07,397] Trial 63 finished with value: 0.8503789815665823 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:05:50,651] Trial 64 finished with value: 0.8503789815665823 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:06:33,935] Trial 65 finished with value: 0.8503789815665823 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:07:17,356] Trial 66 finished with value: 0.8503789815665823 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:08:00,696] Trial 67 finished with value: 0.8503789815665823 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:08:44,100] Trial 68 finished with value: 0.8503789815665823 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:09:27,417] Trial 69 finished with value: 0.8503789815665823 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.1, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 750}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:10:22,781] Trial 70 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:11:18,492] Trial 71 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:12:14,198] Trial 72 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
