number,value,params_dropout_rate,params_lr,params_hid_dim,params_beta,params_win_size,params_weight_decay
162,0.31396672671731246,0.1,0.0005,2048,0.0,4,0.001
163,0.3164466879101452,0.1,0.0005,2048,0.0,4,0.001
164,0.3175983994460923,0.1,0.0005,2048,0.0,4,0.001
165,0.32007127534709845,0.1,0.0005,2048,0.0,4,0.001
166,0.31307637132548977,0.1,0.0005,2048,0.0,4,0.001
167,0.24654564119676795,0.1,0.0005,1024,0.0,4,0.0001
168,0.320036882382456,0.1,0.0005,2048,0.0,4,0.001
169,0.2587698998425543,0.1,0.0005,4096,0.0,4,0.001
170,0.31373740256747545,0.1,0.0005,2048,0.0,4,0.001
171,0.3165234986440169,0.1,0.0005,2048,0.0,4,0.001
172,0.31876443962679024,0.1,0.0005,2048,0.0,4,0.001
173,0.31327859906760985,0.1,0.0005,2048,0.0,4,0.001
174,0.3123832440393399,0.1,0.0005,2048,0.0,4,0.001
175,0.3140146738400728,0.1,0.0005,2048,0.0,4,0.001
176,0.31572506163814357,0.1,0.0005,2048,0.0,4,0.001
177,0.0,0.1,0.0001,2048,0.0,4,0.001
178,0.3148619403099096,0.1,0.0005,2048,0.0,4,0.001
179,0.0028723911183048006,0.1,0.0005,2048,0.2,4,0.001
180,0.000798251643920393,0.1,0.001,2048,0.3,4,0.005
181,0.3136502815371291,0.1,0.0005,2048,0.0,4,0.001
182,0.3156997981868842,0.1,0.0005,2048,0.0,4,0.001
183,0.3155953490756101,0.1,0.0005,2048,0.0,4,0.001
184,0.31894442329146533,0.1,0.0005,2048,0.0,4,0.001
185,0.3172894364712111,0.1,0.0005,2048,0.0,4,0.001
186,0.31680515334522946,0.1,0.0005,2048,0.0,4,0.001
187,0.313351809151537,0.1,0.0005,2048,0.0,4,0.001
188,0.31569624671614127,0.1,0.0005,2048,0.0,4,0.001
189,0.03979748314412942,0.1,0.005,2048,0.0,4,0.001
190,0.28869766292973315,0.1,0.0005,2048,0.0,8,0.001
191,0.3174440262459727,0.1,0.0005,2048,0.0,4,0.001
192,0.31338224791147523,0.1,0.0005,2048,0.0,4,0.001
193,0.3158032087193748,0.1,0.0005,2048,0.0,4,0.001
194,0.3149035092618238,0.1,0.0005,2048,0.0,4,0.001
195,0.3146038192211526,0.1,0.0005,2048,0.0,4,0.001
196,0.0,0.3,0.0005,2048,0.4,4,0.001
