number,value,params_lr,params_hid_dim,params_lambd,params_beta,params_theta,params_win_size,params_epochs
101,0.8383876916231887,0.05,128,0.01,0.01,7.0,5,1000
102,0.838349459315574,0.05,128,0.01,0.01,7.0,5,1000
103,0.8380747345289485,0.05,128,0.01,0.01,7.0,5,1000
104,0.8381814537151655,0.05,128,0.01,0.01,7.0,5,1000
105,0.8382769353654925,0.05,128,0.01,0.01,7.0,5,1000
106,0.8247245478138174,0.05,128,0.01,0.01,7.0,5,500
107,0.7923667878246485,0.005,128,0.01,0.01,5.0,7,1000
108,0.8381794847992576,0.05,128,0.01,0.01,7.0,5,1000
109,0.7955283671256503,0.05,512,0.001,0.1,7.0,3,1000
110,0.6854687853666274,0.05,128,0.01,0.01,2.0,5,1000
111,0.8383656819436949,0.05,128,0.01,0.01,7.0,5,1000
112,0.8380651461438239,0.05,128,0.01,0.01,7.0,5,1000
113,0.8379827149790079,0.05,128,0.01,0.01,7.0,5,1000
114,0.8379165514722703,0.05,128,0.01,0.01,7.0,5,1000
115,0.8380751310272901,0.05,128,0.01,0.01,7.0,5,1000
116,0.8038979299410217,0.001,128,0.01,0.01,7.0,5,1000
117,0.726790257182907,0.05,32,0.1,0.01,7.0,5,1000
118,0.7915825539452271,0.05,256,0.01,0.01,7.0,9,1000
119,0.8145461901912183,0.1,128,0.01,0.01,7.0,5,750
120,0.8379996597139179,0.05,128,0.01,0.01,7.0,5,1000
121,0.8380888859464857,0.05,128,0.01,0.01,7.0,5,1000
122,0.8383371106594258,0.05,128,0.01,0.01,7.0,5,1000
123,0.8381932682681069,0.05,128,0.01,0.01,7.0,5,1000
124,0.8382748877797959,0.05,128,0.01,0.01,7.0,5,1000
125,0.8377558425253133,0.05,128,0.01,0.01,7.0,5,1000
126,0.8378974928842566,0.05,128,0.01,0.01,7.0,5,1000
127,0.7712078991719236,0.05,64,0.01,0.001,5.0,5,500
128,0.8382265697599998,0.05,128,0.01,0.01,7.0,5,1000
129,0.80969305504749,0.05,128,0.01,0.01,7.0,7,1000
130,0.8437343299571395,0.005,128,0.001,0.1,7.0,5,1000
131,0.8433933140721734,0.005,128,0.001,0.1,7.0,5,1000
132,0.8435684375179311,0.005,128,0.001,0.1,7.0,5,1000
133,0.8085931550656097,0.001,128,0.001,0.1,7.0,5,1000
134,0.8437058213229902,0.005,128,0.001,0.1,7.0,5,1000
135,0.843392548304207,0.005,128,0.001,0.1,7.0,5,1000
136,0.8430687729454245,0.005,128,0.001,0.1,7.0,5,1000
137,0.7461939403192409,0.005,128,0.001,0.1,2.0,5,1000
138,0.7955505544985241,0.005,128,0.001,0.1,7.0,3,1000
139,0.843548569554877,0.005,128,0.001,0.1,7.0,5,1000
140,0.8460387175427103,0.005,512,0.001,0.1,7.0,5,1000
141,0.8456640345185558,0.005,512,0.001,0.1,7.0,5,1000
142,0.8461005967062103,0.005,512,0.001,0.1,7.0,5,1000
143,0.8460856430330332,0.005,512,0.001,0.1,7.0,5,1000
144,0.8457137714209659,0.005,512,0.001,0.1,7.0,5,1000
145,0.8460110724928428,0.005,512,0.001,0.1,7.0,5,1000
146,0.8459404163846108,0.005,512,0.001,0.1,7.0,5,1000
147,0.8456701884604535,0.005,512,0.001,0.1,7.0,5,1000
148,0.8461865528487172,0.005,512,0.001,0.1,7.0,5,1000
149,0.8458853972197441,0.005,512,0.001,0.1,7.0,5,1000
150,0.8412959447725991,0.005,512,0.001,0.1,7.0,5,750
151,0.8459707170567702,0.005,512,0.001,0.1,7.0,5,1000
152,0.8455314987484627,0.005,512,0.001,0.1,7.0,5,1000
153,0.846179231816018,0.005,512,0.001,0.1,7.0,5,1000
154,0.7543753392090123,0.005,512,0.001,0.1,7.0,9,1000
155,0.846118970900716,0.005,512,0.001,0.1,7.0,5,1000
156,0.8335167107812026,0.005,512,0.001,0.1,7.0,5,500
157,0.8255173165691142,0.005,512,0.001,0.1,5.0,5,1000
158,0.8459872433224739,0.005,512,0.001,0.1,7.0,5,1000
159,0.8461138818148967,0.005,512,0.001,0.1,7.0,5,1000
160,0.8459570787945975,0.005,512,0.001,0.1,7.0,5,1000
161,0.8460238314167643,0.005,512,0.001,0.1,7.0,5,1000
162,0.845898942560477,0.005,512,0.001,0.1,7.0,5,1000
163,0.8457789222971124,0.005,512,0.001,0.1,7.0,5,1000
164,0.8460557204392584,0.005,512,0.001,0.1,7.0,5,1000
165,0.8039545728172259,0.005,512,0.001,0.1,7.0,7,1000
166,0.8458000428415368,0.005,512,0.001,0.1,7.0,5,1000
167,0.8457697308660594,0.005,512,0.001,0.1,7.0,5,1000
168,0.8461920550877267,0.005,512,0.001,0.1,7.0,5,1000
169,0.7211393475881163,0.005,512,0.001,0.1,2.0,5,1000
170,0.8459887845285752,0.005,512,0.001,0.1,7.0,5,1000
171,0.8462412085548607,0.005,512,0.001,0.1,7.0,5,1000
172,0.8459373916329472,0.005,512,0.001,0.1,7.0,5,1000
173,0.8460647791485295,0.005,512,0.001,0.1,7.0,5,1000
174,0.8455780430854388,0.005,512,0.001,0.1,7.0,5,1000
175,0.8460640309234112,0.005,512,0.001,0.1,7.0,5,1000
176,0.8457822703816289,0.005,512,0.001,0.1,7.0,5,1000
177,0.8458307489813758,0.005,512,0.001,0.1,7.0,5,1000
178,0.8459780784683426,0.005,512,0.001,0.1,7.0,5,1000
179,0.7955295921041967,0.005,512,0.001,0.1,7.0,3,1000
180,0.8461391461637249,0.005,512,0.001,0.1,7.0,5,1000
181,0.8459233340995889,0.005,512,0.001,0.1,7.0,5,1000
182,0.8457659202630062,0.005,512,0.001,0.1,7.0,5,1000
183,0.8458818312649317,0.005,512,0.001,0.1,7.0,5,1000
184,0.846089446076082,0.005,512,0.001,0.1,7.0,5,1000
185,0.8459945966924344,0.005,512,0.001,0.1,7.0,5,1000
186,0.8455727299377592,0.005,512,0.001,0.1,7.0,5,1000
187,0.7478829869212311,0.005,512,0.001,0.1,7.0,9,750
188,0.8459673290596532,0.005,512,0.001,0.1,7.0,5,1000
189,0.8181335966175471,0.005,512,0.001,0.1,5.0,5,500
190,0.8461674784513832,0.005,512,0.001,0.1,7.0,5,1000
191,0.846193617017514,0.005,512,0.001,0.1,7.0,5,1000
192,0.8458794988224424,0.005,512,0.001,0.1,7.0,5,1000
193,0.8456938491018512,0.005,512,0.001,0.1,7.0,5,1000
194,0.8459330775188411,0.005,512,0.001,0.1,7.0,5,1000
195,0.8460547652050469,0.005,512,0.001,0.1,7.0,5,1000
196,0.8459463703541479,0.005,512,0.001,0.1,7.0,5,1000
197,0.8459217213687623,0.005,512,0.001,0.1,7.0,5,1000
198,0.8460453498028907,0.005,512,0.001,0.1,7.0,5,1000
199,0.8036025285821446,0.005,512,0.001,0.1,7.0,7,1000
200,0.8459337362692745,0.005,512,0.001,0.1,7.0,5,1000
201,0.8459102340521925,0.005,512,0.001,0.1,7.0,5,1000
202,0.8456069126820371,0.005,512,0.001,0.1,7.0,5,1000
203,0.8459503852861731,0.005,512,0.001,0.1,7.0,5,1000
204,0.8458505766885701,0.005,512,0.001,0.1,7.0,5,1000
205,0.8458876361863501,0.005,512,0.001,0.1,7.0,5,1000
206,0.8460093631901006,0.005,512,0.001,0.1,7.0,5,1000
207,0.845883363455242,0.005,512,0.001,0.1,7.0,5,1000
208,0.8458729033531789,0.005,512,0.001,0.1,7.0,5,1000
209,0.7203578075356625,0.005,512,0.001,0.1,2.0,5,1000
210,0.8461459648904864,0.005,512,0.001,0.1,7.0,5,1000
211,0.8459143494483644,0.005,512,0.001,0.1,7.0,5,1000
212,0.8462065444792739,0.005,512,0.001,0.1,7.0,5,1000
213,0.8461015892764523,0.005,512,0.001,0.1,7.0,5,1000
214,0.8459498389516082,0.005,512,0.001,0.1,7.0,5,1000
215,0.8458453101167467,0.005,512,0.001,0.1,7.0,5,1000
216,0.8460983160192922,0.005,512,0.001,0.1,7.0,5,1000
217,0.7955295783433887,0.005,512,0.001,0.1,7.0,3,1000
218,0.8459592693470488,0.005,512,0.001,0.1,7.0,5,1000
219,0.8463265710779119,0.005,512,0.1,0.1,7.0,5,1000
220,0.8342115485595424,0.1,512,0.1,0.1,7.0,5,1000
221,0.8460190693244667,0.005,512,0.1,0.1,7.0,5,1000
222,0.8462915424218416,0.005,512,0.1,0.1,7.0,5,1000
223,0.846234995293095,0.005,512,0.1,0.1,7.0,5,1000
224,0.8463241242675259,0.005,512,0.1,0.1,7.0,5,1000
225,0.8459675025382877,0.005,512,0.1,0.1,7.0,5,1000
226,0.8431913556152493,0.005,512,0.1,0.1,7.0,5,750
227,0.8481251515099575,0.01,256,0.1,0.1,7.0,5,1000
228,0.8459640044477187,0.005,256,0.1,0.1,7.0,5,1000
229,0.8188447838437446,0.01,256,0.1,0.1,7.0,9,1000
230,0.824246515423461,0.01,256,0.1,0.1,5.0,5,500
231,0.8480013238938373,0.01,512,0.1,0.1,7.0,5,1000
232,0.8460790270597541,0.005,512,0.1,0.1,7.0,5,1000
233,0.8479536498504869,0.01,512,0.1,0.1,7.0,5,1000
234,0.7323541225194353,0.01,32,0.1,0.1,7.0,5,1000
235,0.8199655863570707,0.01,512,0.1,0.001,7.0,5,1000
236,0.8479857977446984,0.01,512,0.1,0.1,7.0,5,1000
237,0.8481789435799011,0.01,256,0.1,0.1,7.0,5,1000
238,0.848118985509946,0.01,256,0.1,0.1,7.0,5,1000
239,0.8482251123816148,0.01,256,0.1,0.1,7.0,5,1000
240,0.8481271483451368,0.01,256,0.1,0.1,7.0,5,1000
241,0.8480936355860841,0.01,256,0.1,0.1,7.0,5,1000
242,0.8481884747595821,0.01,256,0.1,0.1,7.0,5,1000
243,0.8481195609820047,0.01,256,0.1,0.1,7.0,5,1000
244,0.848106434575682,0.01,256,0.1,0.1,7.0,5,1000
245,0.848098920946428,0.01,256,0.1,0.1,7.0,5,1000
246,0.8482028281002031,0.01,256,0.1,0.1,7.0,5,1000
247,0.8481538287457839,0.01,256,0.1,0.1,7.0,5,1000
248,0.8323521271538293,0.01,256,0.1,0.1,7.0,7,1000
249,0.8480299951318407,0.01,256,0.1,0.1,7.0,5,1000
250,0.8482455986351316,0.01,256,0.1,0.1,7.0,5,1000
251,0.8480988462148048,0.01,256,0.1,0.1,7.0,5,1000
252,0.8481506454943867,0.01,256,0.1,0.1,7.0,5,1000
253,0.7546957182508074,0.01,256,0.1,0.1,2.0,5,1000
254,0.8480632956696349,0.01,256,0.1,0.1,7.0,5,1000
255,0.8481542409941628,0.01,256,0.1,0.1,7.0,5,1000
256,0.8481594675474028,0.01,256,0.1,0.1,7.0,5,1000
257,0.8482130859935009,0.01,256,0.1,0.1,7.0,5,1000
258,0.7925519478798339,0.01,256,0.1,0.1,7.0,3,1000
259,0.8481510544897045,0.01,256,0.1,0.1,7.0,5,1000
260,0.8465329578029698,0.01,256,0.1,0.1,7.0,5,750
261,0.8161699210509149,0.01,256,0.1,0.001,7.0,5,750
262,0.8464072729196286,0.01,256,0.1,0.1,7.0,5,750
263,0.846639319514174,0.01,256,0.1,0.1,7.0,5,750
264,0.8463596857236396,0.01,256,0.1,0.1,7.0,5,750
265,0.829845846701444,0.01,256,0.1,0.1,5.0,5,750
266,0.8116419724625681,0.01,256,0.1,0.1,7.0,9,500
267,0.8480291912309987,0.01,256,0.1,0.1,7.0,5,1000
268,0.8480134417232859,0.01,256,0.1,0.1,7.0,5,1000
269,0.8481077858055268,0.01,256,0.1,0.1,7.0,5,1000
270,0.8480810638227504,0.01,256,0.1,0.1,7.0,5,1000
271,0.8482063944064732,0.01,256,0.1,0.1,7.0,5,1000
272,0.848123274005075,0.01,256,0.1,0.1,7.0,5,1000
273,0.8481280823610615,0.01,256,0.1,0.1,7.0,5,1000
274,0.8325342409744758,0.01,256,0.1,0.1,7.0,7,1000
275,0.7546335003111079,0.01,256,0.1,0.1,2.0,5,1000
276,0.8480578847008063,0.01,256,0.1,0.1,7.0,5,1000
277,0.8481525343187377,0.01,256,0.1,0.1,7.0,5,1000
278,0.8481941612692397,0.01,256,0.1,0.1,7.0,5,1000
279,0.8481021346044658,0.01,256,0.1,0.1,7.0,5,1000
280,0.8481791262960489,0.01,256,0.1,0.1,7.0,5,1000
281,0.8481267624372771,0.01,256,0.1,0.1,7.0,5,1000
282,0.8483525302819375,0.01,256,0.1,0.1,7.0,5,1000
283,0.8094980179980729,0.01,256,0.1,0.001,7.0,3,1000
284,0.848077075966673,0.01,256,0.1,0.1,7.0,5,1000
285,0.8481919650400294,0.01,256,0.1,0.1,7.0,5,1000
286,0.8482639465004733,0.01,256,0.1,0.1,7.0,5,1000
287,0.8481048435796087,0.01,256,0.1,0.1,7.0,5,1000
288,0.8481548927035875,0.01,256,0.1,0.1,7.0,5,1000
289,0.8342374601082454,0.01,256,0.1,0.1,5.0,5,1000
290,0.8481614392714689,0.01,256,0.1,0.1,7.0,5,1000
291,0.8114533815168584,0.01,256,0.1,0.1,7.0,9,500
292,0.8480754546640409,0.01,256,0.1,0.1,7.0,5,1000
293,0.8482133396646051,0.01,256,0.1,0.1,7.0,5,1000
294,0.8481709672314869,0.01,256,0.1,0.1,7.0,5,1000
295,0.8479774580530091,0.01,256,0.1,0.1,7.0,5,1000
296,0.8482308041425444,0.01,256,0.1,0.1,7.0,5,1000
297,0.8482298381103393,0.01,256,0.1,0.1,7.0,5,1000
298,0.8481854969084361,0.01,256,0.1,0.1,7.0,5,1000
299,0.7548752299476336,0.01,256,0.1,0.1,2.0,5,1000
