number,value,params_dropout_rate,params_lr,params_hid_dim,params_alpha,params_beta,params_win_size
56,0.00017116613173494085,0.30000000000000004,0.01,1024,4.0,0.2,4
57,0.0,0.30000000000000004,0.01,512,4.0,0.0,4
58,0.3232201363118585,0.30000000000000004,0.01,512,4.0,0.0,4
59,0.0010530544825807198,0.30000000000000004,0.01,512,4.0,0.2,4
60,0.4552912525689506,0.30000000000000004,0.01,512,4.0,0.0,4
61,0.27261893213969884,0.30000000000000004,0.01,512,4.0,0.0,4
62,0.3390675803947533,0.30000000000000004,0.01,512,4.0,0.0,4
63,0.3254529175118508,0.30000000000000004,0.01,512,4.0,0.0,4
64,0.3884745676619666,0.30000000000000004,0.01,512,4.0,0.0,4
65,0.3740844655586555,0.30000000000000004,0.01,512,4.0,0.0,4
66,0.0,0.2,0.01,1024,4.0,0.2,4
67,0.0,0.30000000000000004,0.01,512,4.0,0.0,4
68,0.0,0.2,5e-05,256,5.0,0.0,4
69,0.0,0.30000000000000004,0.01,512,4.0,0.2,4
70,0.22564739131735548,0.30000000000000004,0.01,2048,4.0,0.0,4
71,0.3763214827189425,0.30000000000000004,0.01,512,4.0,0.0,4
72,0.4310379752819607,0.30000000000000004,0.01,512,4.0,0.0,4
73,0.26834441274065673,0.30000000000000004,0.01,512,4.0,0.0,4
74,0.3456835947384025,0.30000000000000004,0.01,512,4.0,0.0,4
75,0.0,0.30000000000000004,0.01,512,0.0,0.0,4
76,0.0,0.2,0.0001,512,4.0,0.4,4
77,0.0,0.30000000000000004,1e-05,512,4.0,0.0,4
78,0.0,0.30000000000000004,0.01,1024,4.0,0.0,4
79,0.00019922504507831175,0.30000000000000004,0.005,256,5.0,0.0,4
80,0.0,0.2,0.01,512,2.0,0.2,4
81,0.2762506537084861,0.30000000000000004,0.01,512,4.0,0.0,4
82,0.36740628767310285,0.30000000000000004,0.01,512,4.0,0.0,4
83,0.3466278365067252,0.30000000000000004,0.01,512,4.0,0.0,4
84,0.0,0.30000000000000004,5e-05,512,4.0,0.0,4
85,0.35703282231669475,0.30000000000000004,0.01,512,4.0,0.0,4
86,0.0022788501881624416,0.30000000000000004,0.0005,2048,4.0,0.0,4
87,0.0,0.30000000000000004,0.01,512,0.0,0.0,4
88,0.42756055572518514,0.30000000000000004,0.01,512,4.0,0.0,4
89,0.0,0.2,0.01,512,4.0,0.6000000000000001,6
90,0.0,0.30000000000000004,1e-05,512,4.0,0.0,4
91,0.38114214173847233,0.30000000000000004,0.01,512,4.0,0.0,4
92,0.3821029221327687,0.30000000000000004,0.01,512,4.0,0.0,4
93,0.3411984632901289,0.30000000000000004,0.01,512,4.0,0.0,4
94,0.0012234364629401134,0.30000000000000004,0.01,512,4.0,0.2,4
95,0.0,0.30000000000000004,0.01,512,2.0,1.0,4
96,0.0,0.30000000000000004,0.0001,512,4.0,0.0,4
97,0.000455404825670925,0.30000000000000004,0.005,512,4.0,0.0,4
98,0.5144538636346203,0.30000000000000004,0.01,512,5.0,0.0,4
99,0.0004271404595391089,0.30000000000000004,0.01,256,5.0,0.2,4
100,0.00031373068101422236,0.30000000000000004,0.01,1024,5.0,0.0,6
