[I 2025-10-07 03:02:41,301] Trial 33 finished with value: 0.2459025537582571 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.5, 'win_size': 6, 'lr': 0.005, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 03:11:04,991] Trial 34 finished with value: 0.27734904258431087 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.3, 'win_size': 4, 'lr': 5e-05, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 03:19:31,278] Trial 35 finished with value: 0.00017102548663230593 and parameters: {'hid_dim': 1024, 'beta': 0.3, 'dropout_rate': 0.3, 'win_size': 4, 'lr': 5e-05, 'weight_decay': 0.005}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 03:31:41,931] Trial 36 finished with value: 0.0005699576572996799 and parameters: {'hid_dim': 1024, 'beta': 0.1, 'dropout_rate': 0.3, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.0005}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 03:43:37,707] Trial 37 finished with value: 0.2637897101763863 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.3, 'win_size': 4, 'lr': 5e-05, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 03:52:10,402] Trial 38 finished with value: 0.0 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.3, 'win_size': 4, 'lr': 5e-05, 'weight_decay': 0.005}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 04:40:40,219] Trial 39 finished with value: 0.0 and parameters: {'hid_dim': 4096, 'beta': 0.4, 'dropout_rate': 0.1, 'win_size': 8, 'lr': 5e-05, 'weight_decay': 0.0001}. Best is trial 16 with value: 0.28354173064669713.
[I 2025-10-07 04:52:33,431] Trial 40 finished with value: 0.31536769029785444 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 40 with value: 0.31536769029785444.
[I 2025-10-07 05:04:46,631] Trial 41 finished with value: 0.31649337546791106 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 05:17:15,270] Trial 42 finished with value: 0.3117437306837224 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 05:29:17,753] Trial 43 finished with value: 0.0009124555273049549 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 05:46:53,521] Trial 44 finished with value: 0.2936896958233137 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 06:04:29,153] Trial 45 finished with value: 0.2962776777319973 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 06:22:09,358] Trial 46 finished with value: 0.29477684812528865 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 06:40:00,269] Trial 47 finished with value: 0.29167975196960355 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 06:57:20,919] Trial 48 finished with value: 0.29663993910722325 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 07:15:02,582] Trial 49 finished with value: 0.0006829427487142345 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 07:32:51,374] Trial 50 finished with value: 0.0005700658949915671 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
