number,value,params_dropout_rate,params_lr,params_hid_dim
112,0.014510733956760597,0.1,0.005,1024
113,0.0807196812153248,0.1,0.005,1024
114,0.03282949654390199,0.1,0.005,1024
115,0.0,0.1,0.0001,1024
116,0.031648214795587604,0.1,0.005,1024
117,0.058399013695207336,0.1,0.005,1024
118,0.0,0.1,0.005,1024
119,0.038964012306555766,0.1,0.005,1024
120,0.0,0.5,0.005,1024
121,0.034182178809070506,0.1,0.005,1024
122,0.02264374713544005,0.1,0.005,1024
123,0.03295062592536199,0.1,0.005,1024
124,0.007974334641209063,0.1,0.001,1024
125,0.0034578797049604672,0.1,0.005,1024
126,0.05663442717586481,0.1,0.005,1024
127,0.0031854085102637126,0.1,0.0005,1024
128,0.05708568761799768,0.1,0.005,1024
129,0.0,0.1,0.005,512
130,0.11014797139272774,0.1,0.005,2048
131,0.004879347011951824,0.1,0.005,2048
132,0.02551881650664632,0.1,0.005,2048
133,0.028977986468055356,0.1,0.005,2048
134,0.007895230336273845,0.1,0.005,2048
135,0.009936906477071654,0.1,0.005,2048
136,0.017533806665430304,0.1,0.005,1024
137,0.012661247497733489,0.1,0.005,1024
138,0.0,0.1,5e-05,1024
139,0.02213965222214752,0.1,0.005,1024
140,0.0,0.1,0.0001,1024
141,0.006733085238279423,0.1,0.005,1024
142,0.06938863800286167,0.1,0.005,1024
143,0.005867396283808872,0.1,0.005,1024
144,0.07340527608107468,0.1,0.005,1024
145,0.06424496078331406,0.1,0.005,1024
146,0.06716894026321991,0.1,0.005,1024
147,0.00932269633486343,0.1,0.005,1024
148,0.012108474246171043,0.1,0.005,1024
149,0.019825462892080193,0.1,0.005,2048
