number,value,params_lr,params_hid_dim,params_lambd,params_beta,params_theta,params_win_size,params_epochs
132,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
133,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
134,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
135,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
136,0.094866460447321,0.005,128,0.1,0.01,7.0,9,1000
137,0.8503837203232792,0.01,256,0.1,0.01,7.0,3,1000
138,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
139,0.8503837203232792,0.1,256,0.1,0.01,7.0,3,1000
140,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
141,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
142,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
143,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
144,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
145,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
146,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
147,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
148,0.25745352528285037,0.005,256,0.1,0.01,7.0,7,1000
149,0.00894198233764828,0.005,32,0.01,0.01,2.0,3,1000
150,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
151,0.8503837203232792,0.1,256,0.1,0.01,7.0,3,1000
152,0.8503837203232792,0.1,256,0.1,0.01,7.0,3,1000
153,0.8503837203232792,0.1,256,0.1,0.01,7.0,3,1000
154,0.8503837203232792,0.1,256,0.1,0.01,7.0,3,1000
155,0.8503837203232792,0.05,256,0.1,0.01,7.0,3,1000
156,0.7907189400145898,0.005,64,0.001,0.01,7.0,3,1000
157,0.8499587894793603,0.1,256,0.1,0.01,7.0,3,500
158,0.849965608523366,0.005,128,0.1,0.01,7.0,3,1000
159,0.089037310470082,0.005,256,0.1,0.001,7.0,9,1000
160,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
161,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
162,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
163,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
164,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
165,0.8503837203232792,0.01,256,0.1,0.01,7.0,3,1000
166,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
167,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
168,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
169,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
170,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
171,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
172,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
