[I 2025-09-16 01:04:03,377] A new study created in memory with name: no-name-5982d125-ba8d-47cf-b664-18b6f5d80912
[I 2025-09-16 02:17:01,902] Trial 41 finished with value: 0.8380564733150575 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 40 with value: 0.8383378831616035.
[I 2025-09-16 02:18:52,398] Trial 42 finished with value: 0.8382042435065445 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 40 with value: 0.8383378831616035.
[I 2025-09-16 02:20:42,551] Trial 43 finished with value: 0.8381768225026431 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 40 with value: 0.8383378831616035.
[I 2025-09-16 02:22:33,179] Trial 44 finished with value: 0.838038051801527 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 40 with value: 0.8383378831616035.
[I 2025-09-16 02:25:10,882] Trial 45 finished with value: 0.7870496632713636 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.001, 'lambd': 0.01, 'lr': 0.05, 'win_size': 9, 'epochs': 1000}. Best is trial 40 with value: 0.8383378831616035.
[I 2025-09-16 02:28:42,756] Trial 46 finished with value: 0.8329215833605906 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 40 with value: 0.8383378831616035.
[I 2025-09-16 02:30:33,259] Trial 47 finished with value: 0.8384982902118232 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:32:23,751] Trial 48 finished with value: 0.6853447270395998 and parameters: {'hid_dim': 128, 'theta': 2.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:35:01,560] Trial 49 finished with value: 0.7875125934233531 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 9, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:35:56,037] Trial 50 finished with value: 0.6740375828319758 and parameters: {'hid_dim': 32, 'theta': 7.0, 'beta': 0.001, 'lambd': 0.01, 'lr': 0.05, 'win_size': 3, 'epochs': 750}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:37:45,684] Trial 51 finished with value: 0.8380207869712205 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:39:35,417] Trial 52 finished with value: 0.8381972832450065 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:41:25,447] Trial 53 finished with value: 0.8380942914471575 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
