number,value,params_dropout_rate,params_lr,params_hid_dim,params_alpha,params_beta,params_win_size
193,0.7919811833764491,0.30000000000000004,0.001,256,1.0,0.0,2
194,0.7920972785148693,0.30000000000000004,0.001,256,1.0,0.0,2
195,0.7946419301888813,0.30000000000000004,0.001,256,1.0,0.0,2
196,0.7883394410890955,0.30000000000000004,0.001,256,1.0,0.0,2
197,0.1790772898738178,0.30000000000000004,1e-05,32,1.0,0.0,2
198,0.7968579156291291,0.30000000000000004,0.001,256,1.0,0.0,2
199,0.7916615533100355,0.30000000000000004,0.001,256,1.0,0.0,2
200,0.7950341739530503,0.30000000000000004,0.0005,256,1.0,0.0,2
201,0.7944115470991803,0.30000000000000004,0.001,256,1.0,0.0,2
202,0.7893966134648928,0.30000000000000004,0.0005,256,1.0,0.0,2
203,0.7927604972826029,0.30000000000000004,0.0005,256,1.0,0.0,2
204,0.7908906827964134,0.30000000000000004,0.0005,256,1.0,0.0,2
205,0.7905794702952519,0.30000000000000004,0.0005,256,1.0,0.0,2
206,0.3409553787122319,0.30000000000000004,0.001,256,1.0,0.8,2
207,0.0,0.30000000000000004,0.0001,128,0.0,0.0,2
208,0.7760617360932417,0.30000000000000004,5e-05,256,1.0,0.0,2
209,0.7956396339293678,0.30000000000000004,0.001,256,1.0,0.0,2
210,0.7904501734428294,0.30000000000000004,0.001,256,1.0,0.0,2
211,0.7936670724003179,0.30000000000000004,0.001,256,1.0,0.0,2
212,0.795699853773582,0.30000000000000004,0.001,256,1.0,0.0,2
213,0.7938828273130815,0.30000000000000004,0.001,256,1.0,0.0,2
214,0.7874574555248857,0.30000000000000004,0.001,256,1.0,0.0,2
215,0.7423234346698532,0.30000000000000004,0.001,64,1.0,0.0,2
216,0.7924611586812301,0.30000000000000004,0.001,256,1.0,0.0,2
217,0.7891447607216396,0.30000000000000004,0.001,256,1.0,0.0,2
218,0.7924975338103185,0.30000000000000004,0.001,256,1.0,0.0,2
219,0.7894194165249058,0.30000000000000004,0.001,256,1.0,0.0,2
220,0.7971247972899244,0.30000000000000004,0.001,256,1.0,0.0,2
221,0.7930139321907622,0.30000000000000004,0.001,256,1.0,0.0,2
222,0.7899237571855311,0.30000000000000004,0.001,256,1.0,0.0,2
223,0.7928032859736517,0.30000000000000004,0.001,256,1.0,0.0,2
224,0.794362750339953,0.30000000000000004,0.001,256,1.0,0.0,2
225,0.7947510302558115,0.30000000000000004,0.001,256,1.0,0.0,2
226,0.7849507918082362,0.30000000000000004,0.001,256,1.0,0.0,2
227,0.37202738566646804,0.30000000000000004,0.001,256,1.0,1.0,2
228,0.7955127190728334,0.30000000000000004,0.001,256,1.0,0.0,2
229,0.7880479951302233,0.30000000000000004,0.0005,256,1.0,0.0,4
230,0.7938738444084371,0.30000000000000004,0.001,256,1.0,0.0,2
231,0.7938888591296008,0.30000000000000004,0.001,256,1.0,0.0,2
232,0.7911348138895237,0.30000000000000004,0.001,256,1.0,0.0,2
233,0.7939467539536196,0.30000000000000004,0.001,256,1.0,0.0,2
234,0.7910062923208878,0.30000000000000004,0.001,256,1.0,0.0,2
235,0.6116073392784132,0.30000000000000004,0.001,16,1.0,0.0,2
236,0.7949378325085522,0.30000000000000004,0.001,256,1.0,0.0,2
237,0.7927860481945483,0.30000000000000004,0.001,256,4.0,0.0,2
238,0.6851009723269206,0.30000000000000004,1e-05,256,1.0,0.0,2
239,0.790811686080898,0.30000000000000004,0.001,256,1.0,0.0,2
240,0.7059823576107077,0.30000000000000004,0.001,32,1.0,0.0,2
241,0.79469403000912,0.30000000000000004,0.001,256,1.0,0.0,2
242,0.4192117926129124,0.30000000000000004,0.001,256,1.0,0.6000000000000001,2
243,0.7955498816579926,0.30000000000000004,0.001,256,1.0,0.0,2
244,0.7950011591788918,0.30000000000000004,0.001,256,1.0,0.0,2
245,0.7870268434803727,0.30000000000000004,0.001,256,1.0,0.0,2
246,0.794154175046535,0.30000000000000004,0.001,256,1.0,0.0,2
247,0.7824214532273296,0.30000000000000004,0.0001,256,1.0,0.0,2
248,0.7918812174571307,0.30000000000000004,0.001,256,1.0,0.0,2
249,0.7957257467367685,0.30000000000000004,0.001,256,2.0,0.0,2
250,0.7883177471460031,0.30000000000000004,0.001,256,2.0,0.0,2
251,0.7450495165814761,0.30000000000000004,5e-05,128,2.0,0.0,2
252,0.0,0.30000000000000004,0.001,256,0.0,0.0,2
253,0.7909919538378318,0.30000000000000004,0.0005,256,2.0,0.0,2
254,0.7990030967415852,0.30000000000000004,0.001,256,2.0,0.0,2
255,0.7476738732885201,0.30000000000000004,0.001,64,5.0,0.0,2
256,0.7941139480500775,0.30000000000000004,0.001,256,2.0,0.0,2
257,0.796816537821489,0.30000000000000004,0.001,256,1.0,0.0,2
258,0.7986679188011413,0.30000000000000004,0.001,256,2.0,0.0,2
259,0.7945002796051043,0.30000000000000004,0.001,256,2.0,0.0,4
260,0.7861502349635329,0.30000000000000004,0.001,256,2.0,0.0,2
261,0.79559895137974,0.30000000000000004,0.001,256,2.0,0.0,2
262,0.792490694003344,0.30000000000000004,0.001,256,2.0,0.0,2
263,0.7922739140758174,0.30000000000000004,0.001,256,2.0,0.0,2
264,0.7958577714116165,0.30000000000000004,0.001,256,2.0,0.0,2
265,0.7922716363028585,0.30000000000000004,0.001,256,2.0,0.0,2
266,0.7914774777361925,0.30000000000000004,0.001,256,2.0,0.0,6
267,0.7957679848808134,0.30000000000000004,0.001,256,2.0,0.0,2
268,0.6255406347520323,0.30000000000000004,0.001,16,2.0,0.0,2
269,0.792758872297069,0.30000000000000004,0.001,256,2.0,0.0,2
270,0.7965581296740049,0.30000000000000004,0.001,256,2.0,0.0,2
271,0.795047730406438,0.30000000000000004,0.001,256,2.0,0.0,2
272,0.7096689571848259,0.30000000000000004,0.001,32,2.0,0.0,2
273,0.7972591505271965,0.30000000000000004,0.001,256,2.0,0.0,2
274,0.7932030080348792,0.30000000000000004,0.001,256,2.0,0.0,2
275,0.7033056270648713,0.30000000000000004,1e-05,256,2.0,0.0,2
276,0.7929084209393672,0.30000000000000004,0.001,256,2.0,0.0,2
277,0.7941147275618762,0.30000000000000004,0.001,256,2.0,0.0,2
278,0.7803188063535677,0.30000000000000004,0.001,128,2.0,0.0,2
279,0.7948988971913834,0.30000000000000004,0.001,256,2.0,0.0,2
280,0.7951471923386674,0.30000000000000004,0.001,256,2.0,0.0,2
281,0.7832995018736577,0.30000000000000004,0.0001,256,2.0,0.0,4
282,0.7886865957437025,0.30000000000000004,0.001,256,2.0,0.0,2
283,0.778842751458967,0.30000000000000004,5e-05,256,2.0,0.0,2
284,0.6430105527694985,0.30000000000000004,0.001,64,2.0,0.2,2
285,0.785251990142264,0.30000000000000004,0.001,256,2.0,0.0,6
286,0.7967456812736419,0.30000000000000004,0.001,256,2.0,0.0,2
287,0.7923150415832144,0.30000000000000004,0.001,256,2.0,0.0,2
288,0.7968861141455026,0.30000000000000004,0.001,256,2.0,0.0,2
289,0.791367865602726,0.30000000000000004,0.001,256,2.0,0.0,2
290,0.7959644327485792,0.30000000000000004,0.001,256,2.0,0.0,2
291,0.7943843032543536,0.30000000000000004,0.001,256,2.0,0.0,2
292,0.7971407780942609,0.30000000000000004,0.001,256,2.0,0.0,2
293,0.794182760181148,0.30000000000000004,0.001,256,2.0,0.0,2
294,0.7891834847458027,0.30000000000000004,0.001,256,2.0,0.0,2
295,0.795955450033328,0.30000000000000004,0.001,256,2.0,0.0,2
296,0.7937494175646357,0.30000000000000004,0.001,256,2.0,0.0,2
297,0.6263051595593728,0.30000000000000004,0.001,16,2.0,0.0,2
298,0.7920858477044903,0.30000000000000004,0.001,256,2.0,0.0,2
299,0.7942375001000984,0.30000000000000004,0.001,256,2.0,0.0,2
