[I 2025-08-26 23:01:05,106] Trial 71 finished with value: 0.8087867403328216 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 66 with value: 0.8092194594786047.
[I 2025-08-27 09:55:20,131] Trial 105 finished with value: 0.8087588711091317 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 02:50:16,782] Trial 83 finished with value: 0.8087340669532251 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-27 21:13:03,248] Trial 143 finished with value: 0.808620125047104 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 11:21:52,108] Trial 110 finished with value: 0.8081355858218268 and parameters: {'dropout_rate': 0.2, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 05:31:07,851] Trial 91 finished with value: 0.8079167657738352 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-27 03:07:40,592] Trial 84 finished with value: 0.8075826862192876 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-27 12:30:43,291] Trial 114 finished with value: 0.8070856121921682 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 16:19:49,284] Trial 126 finished with value: 0.8069004874766383 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 06:22:53,033] Trial 94 finished with value: 0.8064280827433006 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 93 with value: 0.8130712677272336.
[I 2025-08-27 00:27:21,422] Trial 76 finished with value: 0.8063118326179607 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-26 22:26:32,496] Trial 69 finished with value: 0.8052801407512127 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 66 with value: 0.8092194594786047.
